timestamp(ms),adc1,adc2,adc3,
"1747073284.452","0.319355","0.290323","0.016129",
"1747073284.453","0.303226","0.303226","0.022581",
"1747073284.454","0.293548","0.267742","0",
"1747073284.455","0.303226","0.329032","0.012903",
"1747073284.456","0.264516","0.290323","0.022581",
"1747073284.457","0.216129","0.203226","0.012903",
"1747073284.458","0.212903","0.203226","0.012903",
"1747073284.459","0.241935","0.129032","0.009677",
"1747073284.46","0.222581","0.180645","0.022581",
"1747073284.461","0.212903","0.193548","0.016129",
"1747073284.462","0.254839","0.245161","0.006452",
"1747073284.463","0.3","0.183871","0",
"1747073284.464","0.264516","0.251613","0.009677",
"1747073284.465","0.287097","0.258065","0.006452",
"1747073284.466","0.374194","0.277419","0.012903",
"1747073284.467","0.345161","0.290323","0.006452",
"1747073284.468","0.367742","0.293548","0.009677",
"1747073284.469","0.364516","0.312903","0.012903",
"1747073284.47","0.422581","0.322581","0.012903",
"1747073284.471","0.429032","0.33871","0.035484",
"1747073284.472","0.416129","0.322581","0.025806",
"1747073284.473","0.419355","0.322581","0.012903",
"1747073284.474","0.429032","0.290323","0.009677",
"1747073284.475","0.43871","0.280645","0",
"1747073284.476","0.422581","0.280645","0",
"1747073284.477","0.383871","0.270968","0.019355",
"1747073284.478","0.435484","0.254839","0.019355",
"1747073284.479","0.409677","0.219355","0.012903",
"1747073284.48","0.409677","0.248387","0.012903",
"1747073284.481","0.419355","0.290323","0.019355",
"1747073284.482","0.425806","0.264516","0.019355",
"1747073284.483","0.306452","0.254839","0.022581",
"1747073284.484","0.412903","0.251613","0.022581",
"1747073284.485","0.393548","0.251613","0.029032",
"1747073284.486","0.393548","0.26129","0.009677",
"1747073284.487","0.348387","0.235484","0.019355",
"1747073284.488","0.425806","0.370968","0.019355",
"1747073284.489","0.367742","0.280645","0.012903",
"1747073284.49","0.458065","0.409677","0.019355",
"1747073284.491","0.370968","0.322581","0.022581",
"1747073284.492","0.354839","0.348387","0.012903",
"1747073284.493","0.425806","0.429032","0.016129",
"1747073284.494","0.419355","0.358065","0.009677",
"1747073284.495","0.454839","0.43871","0.009677",
"1747073284.496","0.377419","0.435484","0.019355",
"1747073284.497","0.309677","0.409677","3.3",
"1747073284.498","0.332258","0.432258","3.3",
"1747073284.499","0.293548","0.409677","3.3",
"1747073284.5","0.235484","0.432258","3.3",
"1747073284.501","0.258065","0.387097","3.3",
"1747073284.502","0.267742","0.36129","3.296774",
"1747073284.503","0.2","0.429032","3.3",
"1747073284.504","0.277419","0.4","3.3",
